epoch,accuracy,auc_2,loss,lr,precision_2,recall_2,val_accuracy,val_auc_2,val_loss,val_precision_2,val_recall_2
0,0.24962405860424042,0.6807723045349121,1.7696526050567627,0.001,0.5703421831130981,0.01879699155688286,0.4032258093357086,0.8152139782905579,1.500409483909607,0.39398086071014404,0.14516128599643707
1,0.563659131526947,0.8864116072654724,1.1216405630111694,0.001,0.7430911064147949,0.3639097809791565,0.6743951439857483,0.9333176016807556,0.8934916853904724,0.7599999904632568,0.59375
2,0.6543859839439392,0.9320182800292969,0.8532052636146545,0.001,0.7483577728271484,0.556766927242279,0.7253023982048035,0.959272027015686,0.6978444457054138,0.7968561053276062,0.6643145084381104
3,0.7007519006729126,0.94866943359375,0.6632800102233887,0.001,0.7691835761070251,0.6280701756477356,0.5952621102333069,0.9115478992462158,1.1021767854690552,0.6268402934074402,0.5579637289047241
4,0.7072681784629822,0.951781690120697,0.6260079145431519,0.001,0.7663761973381042,0.639223039150238,0.5725806355476379,0.9080933332443237,1.1507056951522827,0.60550457239151,0.5322580933570862
5,0.7264410853385925,0.9585337042808533,0.5691915154457092,0.001,0.7769010066986084,0.6785714030265808,0.7172378897666931,0.9552903771400452,0.7511695027351379,0.7483552694320679,0.6880040168762207
6,0.7595238089561462,0.9682533144950867,0.470052570104599,0.001,0.8015917539596558,0.7194235324859619,0.7051411271095276,0.9482731819152832,0.8407021760940552,0.7356948256492615,0.680443525314331
7,0.7802004814147949,0.9721506237983704,0.39693257212638855,0.001,0.8164323568344116,0.7496240735054016,0.71875,0.9420455694198608,0.9269704222679138,0.7327262759208679,0.6895161271095276
8,0.8027569055557251,0.9782711267471313,0.34081175923347473,0.000100000005,0.8367735147476196,0.772180438041687,0.7444556355476379,0.9658756256103516,0.6679332852363586,0.7636749744415283,0.7247983813285828
9,0.8061403632164001,0.9787450432777405,0.3208011984825134,0.000100000005,0.8385303616523743,0.7750626802444458,0.7434476017951965,0.9645786285400391,0.6881733536720276,0.7636749744415283,0.7247983813285828
10,0.8071428537368774,0.9800730347633362,0.2928270399570465,0.000100000005,0.8396124839782715,0.7819548845291138,0.7530242204666138,0.9657607078552246,0.6763916015625,0.7705352306365967,0.7328628897666931
11,0.815288245677948,0.980675995349884,0.2834988534450531,0.000100000005,0.8423236608505249,0.788596510887146,0.7550403475761414,0.9642846584320068,0.6890672445297241,0.7688257098197937,0.7358871102333069
12,0.8268170356750488,0.98259437084198,0.2657998502254486,0.000100000005,0.8538081645965576,0.8021303415298462,0.7515121102333069,0.9637545347213745,0.6969151496887207,0.7666314840316772,0.7318548560142517
13,0.8256891965866089,0.9818608164787292,0.2831556499004364,0.000100000005,0.8480743765830994,0.8002506494522095,0.7590726017951965,0.9658632874488831,0.6741904020309448,0.7682672142982483,0.7419354915618896
14,0.8264411091804504,0.982226550579071,0.25707653164863586,1.0000001e-05,0.851704478263855,0.8046365976333618,0.7610887289047241,0.9665491580963135,0.6641137003898621,0.7705605030059814,0.741431474685669
15,0.8308270573616028,0.9827880859375,0.2597339153289795,1.0000001e-05,0.8539459705352783,0.8081453442573547,0.7615927457809448,0.9663777351379395,0.6679096817970276,0.7708768248558044,0.7444556355476379
16,0.8302004933357239,0.9827354550361633,0.2532944977283478,1.0000001e-05,0.8541005253791809,0.8091478943824768,0.7560483813285828,0.9659871459007263,0.6731272339820862,0.766788125038147,0.7424395084381104
17,0.8249373435974121,0.9823829531669617,0.266674667596817,1.0000001e-05,0.8485971689224243,0.8035087585449219,0.7550403475761414,0.9652154445648193,0.6774961352348328,0.7655028700828552,0.7404233813285828
18,0.8256891965866089,0.9820688962936401,0.2602884769439697,1.0000001e-05,0.8471598625183105,0.8036341071128845,0.7605846524238586,0.9663922786712646,0.6640467643737793,0.7707571983337402,0.7439516186714172
19,0.8274435997009277,0.9831127524375916,0.2587025463581085,1.0000001e-05,0.850985050201416,0.8065162897109985,0.7590726017951965,0.9657054543495178,0.6684609651565552,0.7699530720710754,0.7439516186714172
20,0.8307017683982849,0.9831424951553345,0.26467058062553406,1.0000001e-06,0.8548749685287476,0.8097744584083557,0.7580645084381104,0.9654038548469543,0.6732689738273621,0.767745316028595,0.741431474685669
21,0.8305764198303223,0.9838393330574036,0.24665692448616028,1.0000001e-06,0.8562682867050171,0.806265652179718,0.7565523982048035,0.9655381441116333,0.6765215396881104,0.7661122679710388,0.742943525314331
22,0.8246867060661316,0.9827509522438049,0.2553953230381012,1.0000001e-06,0.8445122241973877,0.798370897769928,0.7651209831237793,0.966296374797821,0.662353515625,0.7727983593940735,0.7474798560142517
23,0.8332080245018005,0.983008623123169,0.2595856189727783,1.0000001e-06,0.8536327481269836,0.8097744584083557,0.7565523982048035,0.9655721187591553,0.6708905696868896,0.7683880925178528,0.7424395084381104
24,0.8234335780143738,0.9827992916107178,0.2625451683998108,1.0000001e-06,0.849302351474762,0.8008772134780884,0.758568525314331,0.9653798937797546,0.6737139225006104,0.7697128057479858,0.742943525314331
