epoch,accuracy,auc,loss,lr,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.45576441287994385,0.8036549091339111,2.4882900714874268,0.001,0.5127906799316406,0.38684210181236267,0.6824596524238586,0.9425073862075806,0.8325273990631104,0.799139142036438,0.5614919066429138
1,0.5471177697181702,0.8756616115570068,1.2508478164672852,0.001,0.6395052671432495,0.44060149788856506,0.6456653475761414,0.9343888163566589,0.8845372200012207,0.7586941123008728,0.5388104915618896
2,0.5843358635902405,0.898128092288971,1.0827572345733643,0.001,0.6714335083961487,0.4883458614349365,0.6723790168762207,0.9413219094276428,0.8368116617202759,0.8045892119407654,0.5478830933570862
3,0.5873433351516724,0.9041064381599426,1.0608958005905151,0.001,0.6854937672615051,0.4897243082523346,0.6305443644523621,0.9239256978034973,0.9586142301559448,0.7328348159790039,0.5433467626571655
4,0.6243107914924622,0.9187471866607666,0.9479591250419617,0.001,0.7221940159797668,0.534586489200592,0.6285282373428345,0.9296583533287048,0.9223711490631104,0.7164573669433594,0.5463709831237793
5,0.6393483877182007,0.9247930645942688,0.8737899661064148,0.001,0.7212041616439819,0.5523809790611267,0.6118951439857483,0.9299272894859314,0.9264112710952759,0.7018111348152161,0.546875
6,0.6775689125061035,0.9432674050331116,0.7107439041137695,0.000100000005,0.7607085108757019,0.5919799208641052,0.6875,0.948372483253479,0.7812539339065552,0.7867986559867859,0.600806474685669
7,0.6942355632781982,0.9500696659088135,0.6378158926963806,0.000100000005,0.7791528105735779,0.6154135465621948,0.7021169066429138,0.9523441791534424,0.7483776211738586,0.7770012617111206,0.616431474685669
8,0.711904764175415,0.954658031463623,0.6183145642280579,0.000100000005,0.7912346720695496,0.6312029957771301,0.7026209831237793,0.9524097442626953,0.749535322189331,0.7897800803184509,0.6154233813285828
9,0.711904764175415,0.9554823637008667,0.5838505029678345,0.000100000005,0.7912223935127258,0.6416040062904358,0.7056451439857483,0.9535952210426331,0.7403958439826965,0.7821472883224487,0.6315523982048035
10,0.7226817011833191,0.9577290415763855,0.5683251023292542,0.000100000005,0.7957219481468201,0.6526315808296204,0.7192540168762207,0.9562044739723206,0.7183877229690552,0.784605860710144,0.6370967626571655
11,0.7283207774162292,0.959091067314148,0.571258008480072,0.000100000005,0.7990278005599976,0.6591478586196899,0.7046371102333069,0.9534323215484619,0.7438846826553345,0.7682852149009705,0.6300403475761414
12,0.7191729545593262,0.9581589102745056,0.5564056634902954,0.000100000005,0.7909767627716064,0.6525062918663025,0.7106854915618896,0.9540984034538269,0.7368715405464172,0.7847309112548828,0.632056474685669
13,0.7372180223464966,0.9616712331771851,0.5362738966941833,0.000100000005,0.8055430054664612,0.6701754331588745,0.7298387289047241,0.958607017993927,0.6968048810958862,0.7982619404792786,0.6481854915618896
14,0.7387217879295349,0.961915135383606,0.5229830145835876,0.000100000005,0.8013136386871338,0.6726816892623901,0.7232862710952759,0.956980288028717,0.7149224877357483,0.7865853905677795,0.6502016186714172
15,0.7342105507850647,0.96192467212677,0.516154408454895,0.000100000005,0.8033373355865479,0.6756892204284668,0.7318548560142517,0.9587809443473816,0.6953440308570862,0.7929568886756897,0.6582661271095276
16,0.7469924688339233,0.9645722508430481,0.5089867115020752,0.000100000005,0.8074106574058533,0.6908521056175232,0.7268145084381104,0.955443799495697,0.7265900373458862,0.7944954037666321,0.6547378897666931
17,0.745989978313446,0.9649248719215393,0.48188814520835876,0.000100000005,0.8057966828346252,0.686340868473053,0.7303427457809448,0.9601063132286072,0.6841371655464172,0.793124258518219,0.6628023982048035
18,0.7474937438964844,0.9656144380569458,0.48883721232414246,0.000100000005,0.8091230988502502,0.6868420839309692,0.7459677457809448,0.963411271572113,0.6535289883613586,0.8028759956359863,0.6754032373428345
19,0.756892204284668,0.9672638773918152,0.4648873805999756,0.000100000005,0.8158010244369507,0.6987468600273132,0.7404233813285828,0.9632242918014526,0.6549977660179138,0.8013010025024414,0.6829637289047241
20,0.7580200433731079,0.9687089920043945,0.45114055275917053,0.000100000005,0.8184467554092407,0.7038847208023071,0.7313507795333862,0.9620234370231628,0.6649839282035828,0.7850799560546875,0.6683467626571655
