epoch,accuracy,auc_2,learning_rate,loss,precision_2,recall_2,val_accuracy,val_auc_2,val_loss,val_precision_2,val_recall_2
0,0.12832079827785492,0.5178554058074951,0.0010000000474974513,0.20392711460590363,0.14034101366996765,0.09385965019464493,0.13356855511665344,0.6388027667999268,4.846919536590576,0.15390504896640778,0.10131048411130905
1,0.125,0.5857747793197632,0.0010000000474974513,0.0676359087228775,0.20000000298023224,0.09375,0.0,0.5473222136497498,1.841741919517517,0.0,0.0
2,0.15388470888137817,0.5961369276046753,0.0010000000474974513,0.16002461314201355,0.16764019429683685,0.10789473354816437,0.1411290317773819,0.6367966532707214,4.57735538482666,0.1525423675775528,0.10433467477560043
3,0.1875,0.6261393427848816,0.0010000000474974513,0.04540389031171799,0.20000000298023224,0.15625,0.15789473056793213,0.7234534025192261,0.5556941628456116,0.23076923191547394,0.15789473056793213
4,0.17318296432495117,0.6396601796150208,0.0010000000474974513,0.1482463777065277,0.18195077776908875,0.12506265938282013,0.16078628599643707,0.6425935626029968,4.45292854309082,0.18322981894016266,0.11895161122083664
5,0.25,0.6484375,0.0010000000474974513,0.09039652347564697,0.25,0.1875,0.2631579041481018,0.7006001472473145,1.6330592632293701,0.3076923191547394,0.21052631735801697
6,0.18320801854133606,0.6623688340187073,0.0010000000474974513,0.13885346055030823,0.1950475573539734,0.13621553778648376,0.16129031777381897,0.6660633087158203,4.213618755340576,0.17872647941112518,0.1244959682226181
7,0.25,0.7100423574447632,0.0010000000474974513,0.07974264025688171,0.260869562625885,0.1875,0.21052631735801697,0.6165742874145508,1.3604129552841187,0.1538461595773697,0.10526315867900848
8,0.20250625908374786,0.6799623966217041,0.0010000000474974513,0.13796740770339966,0.2107035219669342,0.148997500538826,0.15221774578094482,0.7127560973167419,4.2147040367126465,0.15625,0.13104838132858276
9,0.15625,0.6895344853401184,0.00010000000474974513,0.08536165207624435,0.1666666716337204,0.125,0.05263157933950424,0.6274238228797913,2.87929105758667,0.0625,0.05263157933950424
