epoch,accuracy,auc_5,learning_rate,loss,precision_5,recall_5,val_accuracy,val_auc_5,val_loss,val_precision_5,val_recall_5
0,0.6367167830467224,0.9249734878540039,0.0010000000474974513,0.8135157227516174,0.7433250546455383,0.523308277130127,0.6456653475761414,0.9224788546562195,0.9598077535629272,0.7498143911361694,0.5090726017951965
1,0.53125,0.9263508915901184,0.0010000000474974513,0.35900622606277466,0.800000011920929,0.5,0.5789473652839661,0.930286169052124,0.47323036193847656,0.6153846383094788,0.42105263471603394
2,0.6384711861610413,0.926349401473999,0.0010000000474974513,0.7887877225875854,0.7484532594680786,0.5305764675140381,0.6471773982048035,0.9256075024604797,0.9390171766281128,0.7590808272361755,0.5161290168762207
3,0.65625,0.9443358778953552,0.0010000000474974513,0.33220797777175903,0.75,0.46875,0.6315789222717285,0.911588191986084,0.5092169046401978,0.75,0.4736842215061188
4,0.6447368264198303,0.9272701144218445,0.0010000000474974513,0.7599255442619324,0.7458630800247192,0.5365914702415466,0.6466733813285828,0.9266017079353333,0.9359214305877686,0.7538569569587708,0.5418346524238586
5,0.5625,0.8981932997703552,0.0010000000474974513,0.5537998676300049,0.7368420958518982,0.4375,0.6842105388641357,0.9577562808990479,0.3618650734424591,0.75,0.6315789222717285
6,0.6436090469360352,0.9302059412002563,0.0010000000474974513,0.7448166012763977,0.7462068796157837,0.5423558950424194,0.6653226017951965,0.9314742684364319,0.9042996168136597,0.7671994566917419,0.5564516186714172
7,0.53125,0.879150390625,0.0010000000474974513,0.6117901802062988,0.6818181872367859,0.46875,0.5263158082962036,0.877193033695221,0.5817736387252808,0.699999988079071,0.3684210479259491
8,0.6481202840805054,0.9335071444511414,0.0010000000474974513,0.7190542221069336,0.7498300671577454,0.552882194519043,0.6547378897666931,0.930780291557312,0.9101706147193909,0.7657657861709595,0.5569556355476379
9,0.40625,0.8718261122703552,0.0010000000474974513,0.42425572872161865,0.5454545617103577,0.375,0.5789473652839661,0.9046629667282104,0.5178853869438171,0.6666666865348816,0.42105263471603394
10,0.6548871994018555,0.9330435991287231,0.0010000000474974513,0.7240344882011414,0.7532401084899902,0.5535087585449219,0.6396169066429138,0.9272817969322205,0.9324802160263062,0.7407660484313965,0.5458669066429138
11,0.6875,0.93115234375,0.00010000000474974513,0.21813195943832397,0.7083333134651184,0.53125,0.6315789222717285,0.9164358377456665,0.5072005391120911,0.7142857313156128,0.5263158082962036
12,0.6560150384902954,0.9333477020263672,0.00010000000474974513,0.7023206353187561,0.7606528997421265,0.5547618865966797,0.6653226017951965,0.9367464780807495,0.8688910603523254,0.765856921672821,0.5720766186714172
13,0.71875,0.925048828125,0.00010000000474974513,0.40077972412109375,0.8095238208770752,0.53125,0.6315789222717285,0.926823616027832,0.4730684757232666,0.7142857313156128,0.5263158082962036
14,0.6626566648483276,0.9368236064910889,0.00010000000474974513,0.6980801224708557,0.7594163417816162,0.5609022378921509,0.6693548560142517,0.9359661340713501,0.8732235431671143,0.7703348994255066,0.5680443644523621
15,0.6875,0.9366047382354736,0.00010000000474974513,0.2786751985549927,0.7857142686843872,0.6875,0.6842105388641357,0.9323638677597046,0.4646173417568207,0.7857142686843872,0.5789473652839661
16,0.667543888092041,0.9379309415817261,1.0000000656873453e-05,0.6903857588768005,0.7665198445320129,0.5669173002243042,0.6713709831237793,0.9362133145332336,0.8722890019416809,0.7702794671058655,0.569556474685669
17,0.65625,0.93505859375,1.0000000656873453e-05,0.2878273129463196,0.7599999904632568,0.59375,0.5263158082962036,0.9536010026931763,0.3438035547733307,0.692307710647583,0.4736842215061188
18,0.677819550037384,0.9391407370567322,1.0000000656873453e-05,0.6816551685333252,0.7753056883811951,0.5720551609992981,0.6683467626571655,0.9365748763084412,0.8698832988739014,0.7680271863937378,0.5690523982048035
19,0.65625,0.9585773944854736,1.0000000656873453e-05,0.3404087424278259,0.800000011920929,0.625,0.6315789222717285,0.9065096974372864,0.5110349059104919,0.9090909361839294,0.5263158082962036
20,0.6695488691329956,0.9388303756713867,1.0000000656873453e-05,0.669985294342041,0.7683786749839783,0.5736842155456543,0.671875,0.9366949200630188,0.8691241145133972,0.7694406509399414,0.5685483813285828
21,0.6875,0.9390462636947632,1.0000000656873453e-05,0.4501926004886627,0.6538461446762085,0.53125,0.6315789222717285,0.9462143182754517,0.4141409397125244,0.8461538553237915,0.5789473652839661
22,0.66591477394104,0.9383144974708557,1.0000000656873453e-05,0.6878025531768799,0.7664600610733032,0.5733082890510559,0.6703628897666931,0.9366203546524048,0.8694525361061096,0.7697547674179077,0.569556474685669
23,0.78125,0.9603678584098816,1.0000001111620804e-06,0.26255130767822266,0.9130434989929199,0.65625,0.6842105388641357,0.9385964870452881,0.4208456873893738,0.9166666865348816,0.5789473652839661
24,0.6724310517311096,0.9382699728012085,1.0000001111620804e-06,0.6871132850646973,0.7705000638961792,0.5734335780143738,0.6693548560142517,0.9361128211021423,0.8730059862136841,0.7698087692260742,0.5680443644523621
