epoch,accuracy,auc_1,learning_rate,loss,precision_1,recall_1,val_accuracy,val_auc_1,val_loss,val_precision_1,val_recall_1
0,0.6879699230194092,0.9501974582672119,0.0010000000474974513,0.638245701789856,0.7673112750053406,0.61654132604599,0.6779233813285828,0.9481996893882751,0.7906581163406372,0.760896623134613,0.6159273982048035
1,0.6875,0.95947265625,0.0010000000474974513,0.3456677198410034,0.8181818127632141,0.5625,0.8421052694320679,0.9660664796829224,0.3144700527191162,0.8421052694320679,0.8421052694320679
2,0.7032581567764282,0.9524587392807007,0.0010000000474974513,0.6091302633285522,0.77651047706604,0.6313283443450928,0.7061492204666138,0.9572054743766785,0.7136918902397156,0.7697408199310303,0.6436492204666138
3,0.71875,0.9425455331802368,0.0010000000474974513,0.2814711928367615,0.7916666865348816,0.59375,0.6842105388641357,0.9547553658485413,0.3766123950481415,0.7647058963775635,0.6842105388641357
4,0.7149122953414917,0.9580117464065552,0.0010000000474974513,0.5857463479042053,0.7841336727142334,0.6527568697929382,0.7283266186714172,0.9579554200172424,0.7018296122550964,0.8032581210136414,0.6461693644523621
5,0.71875,0.9623209238052368,0.0010000000474974513,0.3184211552143097,0.7857142686843872,0.6875,0.8947368264198303,0.9591412544250488,0.346529096364975,0.8666666746139526,0.6842105388641357
6,0.7144110202789307,0.9562188982963562,0.0010000000474974513,0.5681228041648865,0.7797244787216187,0.6525062918663025,0.765625,0.9632264971733093,0.6486260890960693,0.8241235613822937,0.6990927457809448
7,0.75,0.9524739980697632,0.00010000000474974513,0.41001999378204346,0.8888888955116272,0.75,0.5789473652839661,0.9369806051254272,0.4649384617805481,0.6470588445663452,0.5789473652839661
8,0.7309523820877075,0.9602195620536804,0.00010000000474974513,0.5278116464614868,0.7922555804252625,0.6743108034133911,0.7358871102333069,0.9583406448364258,0.7019107937812805,0.7908223867416382,0.6688507795333862
9,0.6875,0.9508463144302368,0.00010000000474974513,0.25705623626708984,0.800000011920929,0.625,0.7368420958518982,0.9727608561515808,0.2742699086666107,0.8235294222831726,0.7368420958518982
10,0.7271929979324341,0.9611204266548157,0.00010000000474974513,0.5260486006736755,0.7873067855834961,0.6637844443321228,0.7323588728904724,0.9582809209823608,0.6993808746337891,0.7980653047561646,0.6653226017951965
11,0.84375,0.9769693613052368,0.00010000000474974513,0.15828675031661987,0.807692289352417,0.65625,0.4736842215061188,0.9196676015853882,0.471652090549469,0.5625,0.4736842215061188
12,0.7337092757225037,0.9620472192764282,0.00010000000474974513,0.5214263796806335,0.7985364198684692,0.6700501441955566,0.7056451439857483,0.9553424715995789,0.7251723408699036,0.7713943719863892,0.6496976017951965
13,0.75,0.978515625,0.00010000000474974513,0.15132978558540344,0.8214285969734192,0.71875,0.8947368264198303,0.9935364723205566,0.14205530285835266,0.9411764740943909,0.8421052694320679
14,0.7402255535125732,0.9624022245407104,0.00010000000474974513,0.4858144521713257,0.7992597818374634,0.6765664219856262,0.7263104915618896,0.9592757821083069,0.6896296739578247,0.7894424796104431,0.6708669066429138
15,0.6875,0.9546712040901184,0.00010000000474974513,0.22985562682151794,0.699999988079071,0.65625,0.6842105388641357,0.9531394243240356,0.36749252676963806,0.7647058963775635,0.6842105388641357
16,0.7345864772796631,0.9622201323509216,0.00010000000474974513,0.5034424662590027,0.7953460812568665,0.6681704521179199,0.7192540168762207,0.9569878578186035,0.7097805142402649,0.7913625240325928,0.6557459831237793
17,0.6875,0.944498598575592,0.00010000000474974513,0.23780222237110138,0.7083333134651184,0.53125,0.8421052694320679,0.9720683097839355,0.29497241973876953,0.875,0.7368420958518982
18,0.7337092757225037,0.9611783027648926,0.00010000000474974513,0.4927174746990204,0.7952021360397339,0.6729323267936707,0.7182459831237793,0.9573870897293091,0.7075019478797913,0.7840772271156311,0.6552419066429138
19,0.6875,0.9463704228401184,1.0000000656873453e-05,0.33573901653289795,0.7599999904632568,0.59375,0.7894737124443054,0.9833794832229614,0.23680448532104492,0.8666666746139526,0.6842105388641357
20,0.7342105507850647,0.9630106091499329,1.0000000656873453e-05,0.4792620539665222,0.7974099516868591,0.6713032722473145,0.7197580933570862,0.9574441313743591,0.7053906917572021,0.784596860408783,0.6572580933570862
21,0.71875,0.9529622197151184,1.0000000656873453e-05,0.15576571226119995,0.800000011920929,0.625,0.6315789222717285,0.9549860954284668,0.3450097143650055,0.6666666865348816,0.5263158082962036
22,0.7383458614349365,0.9628455638885498,1.0000000656873453e-05,0.4877301752567291,0.7958216071128845,0.6730576157569885,0.7207661271095276,0.9578408598899841,0.703477680683136,0.7837837934494019,0.6577621102333069
23,0.5625,0.9475098252296448,1.0000000656873453e-05,0.18495593965053558,0.75,0.5625,0.6842105388641357,0.9683749079704285,0.3024929463863373,0.9285714030265808,0.6842105388641357
24,0.7383458614349365,0.9631590247154236,1.0000001111620804e-06,0.4947025775909424,0.8010424375534058,0.6740601658821106,0.7222782373428345,0.9579581022262573,0.7023040652275085,0.7878239750862122,0.6587701439857483
