epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5596961975097656,0.8743558526039124,0.0010000000474974513,1.3555716276168823,0.6719440817832947,0.416019082069397,0.6910282373428345,0.9394097924232483,0.8775561451911926,0.8660488724708557,0.5181451439857483
1,0.5625,0.89111328125,0.0010000000474974513,0.7187837362289429,0.75,0.46875,0.6315789222717285,0.8758078813552856,0.6139278411865234,0.8181818127632141,0.4736842215061188
2,0.6397916078567505,0.9212580919265747,0.0010000000474974513,1.0428308248519897,0.7682599425315857,0.5052984952926636,0.6638104915618896,0.9364160895347595,0.8868523836135864,0.8213140964508057,0.5166330933570862
3,0.59375,0.9222005605697632,0.0010000000474974513,0.40431129932403564,0.75,0.46875,0.7368420958518982,0.9415974617004395,0.4303905963897705,0.8333333134651184,0.5263158082962036
4,0.6487107276916504,0.9292272925376892,0.0010000000474974513,0.9672017693519592,0.7732129096984863,0.5368244647979736,0.6275201439857483,0.919774055480957,0.9816674590110779,0.7848206758499146,0.47429436445236206
5,0.78125,0.9779459238052368,0.0010000000474974513,0.3197683095932007,1.0,0.625,0.5789473652839661,0.9501385688781738,0.4252984821796417,0.75,0.4736842215061188
6,0.6707876920700073,0.9368686676025391,0.0010000000474974513,0.9115878343582153,0.7777508497238159,0.5673789978027344,0.6980846524238586,0.9498720765113831,0.7797116637229919,0.8173352479934692,0.5751007795333862
7,0.625,0.92529296875,0.0010000000474974513,0.5270320177078247,0.8421052694320679,0.5,0.6315789222717285,0.9510618448257446,0.3796389698982239,0.7692307829856873,0.5263158082962036
8,0.6774991154670715,0.9423239231109619,0.0010000000474974513,0.8699779510498047,0.7819281220436096,0.5823030471801758,0.6496976017951965,0.9290847182273865,0.915901243686676,0.7860843539237976,0.5352822542190552
9,0.53125,0.9007160663604736,0.0010000000474974513,0.6118956208229065,0.7368420958518982,0.4375,0.6842105388641357,0.9679132699966431,0.3149120509624481,0.8461538553237915,0.5789473652839661
